"Reporting month";"Sales Month";"Platform";"Country / Region";"Label Name";"Artist Name";"Release title";"Track title";;;"Release Catalog nb";"Product";"Sales Type";"Quantity";"Client Payment Currency";"Net Revenue"
"2019-05-01";"2019-05-01";"YouTube Red";"Colombia";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.001929319828
"2019-05-01";"2019-04-01";"Amazon Premium";"Germany";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.00815817366
"2019-05-01";"2019-04-01";"Amazon Premium";"United kingdom";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.005890871845
"2019-05-01";"2019-05-01";"YouTube Red";"Austria";"Label";"Band";"Album";"Song 1 ";;;;;"Stream";1;"EUR";0.00865226753
"2019-05-01";"2019-04-01";"Google Sub";"Canada";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";7;"EUR";0.018170824423
"2019-05-01";"2019-04-01";"Spotify Stream";"Poland";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";21;"EUR";0.02059942629
"2019-05-01";"2019-05-01";"YouTube Red";"Germany";"Label";"Band";"Song 4";;;;;;"Stream";10;"EUR";0.05317168523
"2019-05-01";"2019-05-01";"YouTube Red";"Finland";"Label";"Band";"Song 4";;;;;;"Stream";1;"EUR";0.010182667845
"2019-05-01";"2019-05-01";"YouTube Red";"France";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.00476857177
"2019-05-01";"2019-05-01";"Apple Music";"Ukraine";"Label";"Band";"Song 4";"Song 4 ";;;;;"Stream";1;"EUR";0.001539198198
"2019-05-01";"2019-05-01";"YouTube Red";"Australia";"Label";"Band";"Song 4";"Song 4 ";;;;;"Stream";1;"EUR";0.009905072613
"2019-05-01";"2019-04-01";"Spotify Stream";"Turkey";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";2;"EUR";0.00097946082
"2019-05-01";"2019-04-01";"Spotify Stream";"Kuwait";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";6;"EUR";0.014742175289
"2019-05-01";"2019-05-01";"YouTube Official Music Content";"Norway";"Label";"Band";"Album";"Song 1 ";;;;;"Stream";2;"EUR";0.006595029708
"2019-05-01";"2019-05-01";"Youtube Audio Fingerprint";"Australia";"Label";"Band";"Song 4";"Song 4 ";;;;;"Stream";1;"EUR";0.001218517786
"2019-05-01";"2019-05-01";"Youtube Audio Fingerprint";"Luxembourg";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.000933010101
"2019-05-01";"2019-05-01";"iTunes";"United states";"Label";"Band";"Album";"Song 1 ";;;;;"Download";2;"EUR";1.000991356544
"2019-05-01";"2019-04-01";"Spotify Stream";"Austria";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";21;"EUR";0.05773644045
"2019-05-01";"2019-04-01";"Spotify Stream";"New zealand";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";2;"EUR";0.00477955881
"2019-05-01";"2019-04-01";"Spotify Stream";"Romania";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";3;"EUR";0.00605075046
"2019-05-01";"2019-04-01";"Spotify Stream";"Taiwan, province of china";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.000899964
"2019-05-01";"2019-05-01";"YouTube Official Music Content";"Portugal";"Label";"Band";"Album";"Song 1 ";;;;;"Stream";11;"EUR";0.020713483563
"2019-05-01";"2019-05-01";"Youtube Audio Fingerprint";"Switzerland";"Label";"Band";"Song 4";"Song 4 ";;;;;"Stream";4;"EUR";0.00045100983
"2019-05-01";"2019-05-01";"Youtube Audio Fingerprint";"Germany";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";41;"EUR";0.001249507305
"2019-05-01";"2019-05-01";"Apple Music";"Germany";"Label";"Band";"Song 4";"Song 4 ";;;;;"Stream";4;"EUR";0.02088966438
"2019-05-01";"2019-05-01";"iTunes";"United states";"Label";"Band";"Song 3";"Song 3 ";;;;;"Download";1;"EUR";0.500495678272
"2019-05-01";"2019-05-01";"YouTube Red";"Romania";"Label";"Band";"Song 4";"Song 4 ";;;;;"Stream";1;"EUR";3.6265411E-05
"2019-05-01";"2019-05-01";"YouTube Red";"Germany";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.005317168523
"2019-05-01";"2019-05-01";"YouTube Red";"Australia";"Label";"Band";"Album";"Song 1 ";;;;;"Stream";1;"EUR";0.009905072613
"2019-05-01";"2019-04-01";"Spotify Stream";"Italy";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";33;"EUR";0.0393509259
"2019-05-01";"2019-04-01";"Spotify Stream";"Canada";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";24;"EUR";0.04220306181
"2019-05-01";"2019-04-01";"Spotify Stream";"Estonia";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";3;"EUR";0.00412858485
"2019-05-01";"2019-04-01";"Spotify Stream";"Malaysia";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.00062097516
"2019-05-01";"2019-04-01";"Spotify Stream";"Portugal";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";21;"EUR";0.023137299721
"2019-05-01";"2019-04-01";"Spotify Stream";"Slovakia";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.00099596016
"2019-05-01";"2019-05-01";"Apple Music";"United states";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";4;"EUR";0.024970496279
"2019-05-01";"2019-05-01";"YouTube Red";"Finland";"Label";"Band";"Album";"Song 1 ";;;;;"Stream";1;"EUR";0.006287762777
"2019-05-01";"2019-05-01";"YouTube Red";"Russian federation";"Label";"Band";"Song 4";"Song 4 ";;;;;"Stream";1;"EUR";0.001974157063
"2019-05-01";"2019-04-01";"Spotify Stream";"United kingdom";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";38;"EUR";0.133233670441
"2019-05-01";"2019-05-01";"Youtube Audio Fingerprint";"Canada";"Label";"Band";"Song 4";"Song 4 ";;;;;"Stream";9;"EUR";0.000354741782
"2019-05-01";"2019-05-01";"Youtube Audio Fingerprint";"Belgium";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";2;"EUR";0.00040287574
"2019-05-01";"2019-05-01";"YouTube Red";"Canada";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";3;"EUR";0.016672198178
